Name,Destination,Category,Time Spent,Group
Sunny Forest,Beaches,2.0,group1
Peaceful Plateau,Culture,6.1,group1
Enchanting Rainforest,Entertainment,7.4,group2
Picturesque Beach,Beaches,7.1,group2
Sunny Island,Arts,10.8,group3
Sunny Island,Arts,10.8,group4
Charming Valley,Adventure,4.4,group5
Relaxing Museum,Adventure,6.8,group5
Stunning Park,Adventure,5.3,group5
Dazzling Park,Food and Drink,3.5,group5
Sunny Island,Arts,10.8,group5
Legendary Beach,Architecture,4.1,group6
Glorious Sea,Beaches,8.1,group6
Thrilling Peak,Religious Sites,2.0,group7
Magnificent Lake,Religious Sites,7.5,group7
Incredible Island,Culture,3.1,group8
Fascinating Park,Religious Sites,3.6,group8
Captivating Island,Adventure,10.2,group8
Stunning Sea,Food and Drink,8.5,group9
Majestic Beach,Shopping,1.5,group9
Picturesque Volcano,Shopping,8.1,group9
Charming Valley,Adventure,4.4,group10
Relaxing Museum,Adventure,6.8,group10
Stunning Park,Adventure,5.3,group10
Exotic City,Outdoors,5.1,group10
Majestic Sea,Shopping,10.8,group10
Captivating Jungle,Nature,1.6,group11
Unforgettable Volcano,Nature,2.1,group11
Majestic City,Nature,10.4,group11
Regal Island,Nature,7.8,group11
Enchanting Rainforest,Entertainment,7.4,group12
Picturesque Beach,Beaches,7.1,group12
Mysterious Glacier,Nightlife,6.8,group12
Sunny Forest,Beaches,2.0,group13
Exotic Park,Beaches,1.6,group13
Dazzling Canyon,Beaches,1.3,group13
Majestic Plateau,Beaches,10.0,group13
Stunning Sea,Food and Drink,8.5,group14
Sunny Forest,Beaches,2.0,group15
Thrilling City,Nature,2.4,group15
Adventurous River,Food and Drink,8.8,group15
Charming Valley,Adventure,4.4,group16
Relaxing Museum,Adventure,6.8,group16
Enchanting Rainforest,Entertainment,7.4,group17
Enchanting Rainforest,Entertainment,7.4,group18
Picturesque Beach,Beaches,7.1,group18
Enchanting Rainforest,Entertainment,7.4,group19
Enchanting Museum,Outdoors,8.2,group19
Dazzling River,Outdoors,5.4,group19
Sunny Forest,Beaches,2.0,group20
Thrilling City,Nature,2.4,group20
Peaceful Beach,Entertainment,1.1,group20
Stunning Desert,Architecture,5.7,group20
Picturesque Desert,Entertainment,8.4,group20
Fascinating Museum,Architecture,9.7,group20
Sunny Forest,Beaches,2.0,group21
Peaceful Beach,Entertainment,1.1,group21
Picturesque Desert,Entertainment,8.4,group21
Exotic Park,Beaches,1.6,group21
Picturesque Gorge,Entertainment,9.4,group21
Spectacular Forest,Entertainment,8.6,group21
Charming Valley,Adventure,4.4,group22
Relaxing Museum,Adventure,6.8,group22
Stunning Park,Adventure,5.3,group22
Dazzling Park,Food and Drink,3.5,group22
Sunny Forest,Beaches,2.0,group23
Peaceful Beach,Entertainment,1.1,group23
Adventurous River,Food and Drink,8.8,group23
Picturesque Desert,Entertainment,8.4,group23
Sunny Island,Arts,10.8,group24
Sunny Park,Religious Sites,10.1,group24
Enchanting Rainforest,Entertainment,7.4,group25
Legendary Beach,Architecture,4.1,group26
Glorious Valley,Culture,2.4,group26
Tranquil Mountain,Food and Drink,7.6,group26
Relaxing Mountain,Culture,9.0,group26
Enchanting Mountain,History,4.7,group27
Magnificent Museum,History,1.0,group27
Sunny Volcano,Nature,6.6,group27
Legendary Beach,Architecture,4.1,group28
Sunny Forest,Beaches,2.0,group29
Peaceful Beach,Entertainment,1.1,group29
Stunning Glacier,Religious Sites,4.7,group29
Picturesque Desert,Entertainment,8.4,group29
Mysterious Rock,Religious Sites,4.2,group29
Dazzling Meadow,Religious Sites,7.4,group29
Charming Valley,Adventure,4.4,group30
Relaxing Museum,Adventure,6.8,group30
Stunning Park,Adventure,5.3,group30
Sunny Island,Arts,10.8,group31
Picturesque River,Outdoors,5.6,group32
Relaxing Sea,Culture,4.7,group32
Serene Island,Food and Drink,5.2,group32
Sunny Island,Arts,10.8,group33
Legendary Beach,Architecture,4.1,group34
Glorious Valley,Culture,2.4,group34
Relaxing Mountain,Culture,9.0,group34
Sunny Island,Arts,10.8,group35
Exotic Meadow,Arts,9.0,group35
Enchanting Rainforest,Entertainment,7.4,group36
Dazzling Glacier,Nightlife,3.4,group37
Legendary Beach,Architecture,4.1,group38
Glorious Valley,Culture,2.4,group38
Charming Valley,Adventure,4.4,group39
Relaxing Museum,Adventure,6.8,group39
